scilifelab_id	detailed_name	from_sample_tissue	tissue	organ_name	organ_short_name	color	organ_order	tissue_order	organ_color	comment_260126	keep_260126
E100006701_47	nasopharynx epithelium	nasopharynx	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93	Squamous	Discuss
E100006703_100	olfactory epithelium	olfactory epithelium	olfactory epithelium	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93		
E100006702_82	olfactory epithelium	olfactory epithelium	olfactory epithelium	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93	"Not the cleanest, Got a bi too close to trachea"	Discuss
E100006700_92	olfactory epithelium	olfactory epithelium	olfactory epithelium	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93		
E100006699_92	olfactory epithelium	olfactory epithelium	olfactory epithelium	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93		
E100006699_44	olfactory epithelium	olfactory epithelium	olfactory epithelium	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93		
E100006701_56	trachea	trachea	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93		
E100006700_72	trachea	trachea	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93		
E100006700_122	trachea	trachea	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93	not cleanest sample	discuss
E100006695_81	trachea	trachea	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0	#98BB93		
E100006702_79	lung	lung	lung	Respiratory system	Respiratory system	#6AA692	4	102	#98BB93		
E100006702_58	lung	lung	lung	Respiratory system	Respiratory system	#6AA692	4	102	#98BB93		
E100006702_15	lung	lung	lung	Respiratory system	Respiratory system	#6AA692	4	102	#98BB93		
E100006701_62	lung	lung	lung	Respiratory system	Respiratory system	#6AA692	4	102	#98BB93		
E100006703_48	oral mucosa	oral mucosa	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0	#F09598		
E100006701_38	oral mucosa	oral mucosa	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0	#F09598		
E100006700_93	oral mucosa	oral mucosa	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0	#F09598		
E100006699_93	oral mucosa	oral mucosa	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0	#F09598		
E100006698_84	oral mucosa	oral mucosa	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0	#F09598	got a bit of lip skin	
E100006703_50	lip	lip	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0	#F09598		
E100006701_72	lip	lip	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0	#F09598		
E100006701_50	lip	lip	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0	#F09598		
E100006700_98	lip	lip	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0	#F09598		
E100006700_64	lip	lip	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0	#F09598		
E100006700_95	salivary gland	salivary gland	salivary gland	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	11	#F09598		
