scilifelab_id	from_sample_tissue	tissue	organ_name	organ_short_name	color	organ_order	tissue_order
E100006695_50	pituitary gland	pituitary gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	98
E100006695_121	pituitary gland	pituitary gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	98
E100006703_56	pineal gland	pineal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	99
E100006703_49	pineal gland	pineal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	99
E100006702_93	pineal gland	pineal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	99
E100006698_93	pineal gland	pineal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	99
E100006695_83	pineal gland	pineal gland	Endocrine tissues	Endocrine tissues	#7F6A9C	3	99
E100006702_48	bronchus	lung	Respiratory system	Respiratory system	#6AA692	4	0
E100006702_3	bronchus	lung	Respiratory system	Respiratory system	#6AA692	4	0
E100006701_42	bronchus	lung	Respiratory system	Respiratory system	#6AA692	4	0
E100006697_56	bronchus	lung	Respiratory system	Respiratory system	#6AA692	4	0
E100006703_45	larynx	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006702_78	larynx	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006700_91	larynx	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006697_98	larynx	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006703_47	nasopharynx epithelium	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006702_81	nasopharynx epithelium	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006702_60	nasopharynx epithelium	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006701_65	nasopharynx epithelium	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006701_47	nasopharynx epithelium	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006703_100	olfactory epithelium	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006702_82	olfactory epithelium	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006700_92	olfactory epithelium	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006699_92	olfactory epithelium	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006699_44	olfactory epithelium	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006701_56	trachea	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006700_72	trachea	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006700_122	trachea	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006695_81	trachea	upper respiratory system	Respiratory system	Respiratory system	#6AA692	4	0
E100006702_79	lung	lung	Respiratory system	Respiratory system	#6AA692	4	102
E100006702_58	lung	lung	Respiratory system	Respiratory system	#6AA692	4	102
E100006702_15	lung	lung	Respiratory system	Respiratory system	#6AA692	4	102
E100006701_62	lung	lung	Respiratory system	Respiratory system	#6AA692	4	102
E100006703_48	oral mucosa	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0
E100006701_38	oral mucosa	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0
E100006700_93	oral mucosa	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0
E100006699_93	oral mucosa	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0
E100006698_84	oral mucosa	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0
E100006703_50	lip	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0
E100006701_72	lip	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0
E100006701_50	lip	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0
E100006700_98	lip	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0
E100006700_64	lip	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	0
E100006700_95	salivary gland	salivary gland	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	11
E100006700_62	salivary gland	salivary gland	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	11
E100006698_3	salivary gland	salivary gland	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	11
E100006697_45	salivary gland	salivary gland	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	11
E100006701_57	esophagus	esophagus	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	12
E100006701_114	esophagus	esophagus	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	12
E100006700_87	esophagus	esophagus	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	12
E100006699_14	esophagus	esophagus	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	12
E100006695_87	esophagus	esophagus	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	12
E100006695_114	esophagus	esophagus	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	12
E100006702_90	tongue	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	174
E100006702_68	tongue	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	174
E100006701_71	tongue	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	174
E100006700_71	tongue	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	174
E100006699_71	tongue	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	174
E100006697_80	tongue	mouth	Proximal digestive tract	Proximal digestive tract	#FBDAD9	5	174
E100006701_44	cecum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006700_78	cecum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006699_79	cecum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006697_51	cecum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006702_88	ileum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006702_76	ileum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006701_58	ileum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006700_88	ileum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006697_34	ileum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006695_88	ileum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006703_44	jejunum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006701_34	jejunum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006700_89	jejunum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006697_97	jejunum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006702_41	stomach (lower)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006701_51	stomach (lower)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006697_74	stomach (lower)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006697_36	stomach (lower)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006701_53	stomach (upper)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006700_67	stomach (upper)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006700_101	stomach (upper)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006697_102	stomach (upper)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	0
E100006700_66	stomach (middle)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	134
E100006700_100	stomach (middle)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	134
E100006699_66	stomach (middle)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	134
E100006698_65	stomach (middle)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	134
E100006698_4	stomach (middle)	stomach	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	134
E100006703_13	colon	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006700_79	colon	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006699_13	colon	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006698_80	colon	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006698_1	colon	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006697_79	colon	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006702_85	rectum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006702_67	rectum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006702_64	rectum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006701_67	rectum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006701_60	rectum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006700_60	rectum	large intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006703_29	duodenum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006701_29	duodenum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006700_82	duodenum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006698_76	duodenum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006698_74	duodenum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006697_29	duodenum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006695_29	duodenum	small intestine	Gastrointestinal tract	Gastrointestinal tract	#1280C4	6	235
E100006702_57	liver (lobe 1)	liver	Liver & Gallbladder	Liver & Gallbladder	#D1CBE5	7	125
E100006701_36	liver (lobe 1)	liver	Liver & Gallbladder	Liver & Gallbladder	#D1CBE5	7	125
E100006699_41	liver (lobe 1)	liver	Liver & Gallbladder	Liver & Gallbladder	#D1CBE5	7	125
E100006697_15	liver (lobe 1)	liver	Liver & Gallbladder	Liver & Gallbladder	#D1CBE5	7	125
E100006703_37	liver (lobe 4)	liver	Liver & Gallbladder	Liver & Gallbladder	#D1CBE5	7	126
E100006701_37	liver (lobe 4)	liver	Liver & Gallbladder	Liver & Gallbladder	#D1CBE5	7	126
E100006699_68	liver (lobe 4)	liver	Liver & Gallbladder	Liver & Gallbladder	#D1CBE5	7	126
E100006699_42	liver (lobe 4)	liver	Liver & Gallbladder	Liver & Gallbladder	#D1CBE5	7	126
E100006697_14	liver (lobe 4)	liver	Liver & Gallbladder	Liver & Gallbladder	#D1CBE5	7	126
E100006699_83	pancreas	pancreas	Pancreas	Pancreas	#96C08E	8	4
E100006699_45	pancreas	pancreas	Pancreas	Pancreas	#96C08E	8	4
E100006698_75	pancreas	pancreas	Pancreas	Pancreas	#96C08E	8	4
E100006697_100	pancreas	pancreas	Pancreas	Pancreas	#96C08E	8	4
E100006701_59	kidney (cortex)	kidney	Kidney & Urinary bladder	Kidney & Urinary bladder	#F9A266	9	0
E100006701_35	kidney (cortex)	kidney	Kidney & Urinary bladder	Kidney & Urinary bladder	#F9A266	9	0
E100006700_90	kidney (cortex)	kidney	Kidney & Urinary bladder	Kidney & Urinary bladder	#F9A266	9	0
E100006700_59	kidney (cortex)	kidney	Kidney & Urinary bladder	Kidney & Urinary bladder	#F9A266	9	0
E100006699_15	kidney (cortex)	kidney	Kidney & Urinary bladder	Kidney & Urinary bladder	#F9A266	9	0
E100006703_97	kidney (medulla)	kidney	Kidney & Urinary bladder	Kidney & Urinary bladder	#F9A266	9	0
